,title,Tokens,listed_in,country,type,rating
1132,Story of Kale: When Someone's in Love,"['leaving', 'toxic', 'relationship', 'dinda', 'embarks', 'romance', 'kale', 'whose', 'view', 'love', 'soon', 'shatters', 'wrestle', 'insecurity']",Romantics,Indonesia,Movie,TV-PG
1133,Mandela,"['amid', 'local', 'election', 'rival', 'vying', 'win', 'mean', 'necessary', 'barber', 'land', 'curiously', 'powerful', 'position', 'single', 'deciding', 'vote']",Comedies,India,Movie,TV-14
1134,Mandela,"['amid', 'local', 'election', 'rival', 'vying', 'win', 'mean', 'necessary', 'barber', 'land', 'curiously', 'powerful', 'position', 'single', 'deciding', 'vote']",Dramas,India,Movie,TV-14
1136,The Fisherman's Diary,"['inspired', 'nobel', 'peace', 'prize', 'winner', 'malala', 'yousafzai', 'young', 'girl', 'defies', 'expectation', 'father', 'village', 'pursue', 'education']",Dramas,Cameroon,Movie,TV-MA
1138,What Lies Below,"['back', 'home', 'lake', 'house', 'teenager', 'begin', 'suspect', 'sinister', 'force', 'lurks', 'beneath', 'surface', 'mother', 'new', 'lover']",Horror,United States,Movie,TV-MA
1139,What Lies Below,"['back', 'home', 'lake', 'house', 'teenager', 'begin', 'suspect', 'sinister', 'force', 'lurks', 'beneath', 'surface', 'mother', 'new', 'lover']",Thrillers,United States,Movie,TV-MA
1140,Escape from Planet Earth,"['animated', 'comedy', 'follows', 'adventure', 'astronaut', 'scorch', 'supernova', 'hero', 'blue', 'alien', 'vast', 'appetite', 'adventure']",Family,"United States, Canada",Movie,PG
1141,Escape from Planet Earth,"['animated', 'comedy', 'follows', 'adventure', 'astronaut', 'scorch', 'supernova', 'hero', 'blue', 'alien', 'vast', 'appetite', 'adventure']",Comedies,"United States, Canada",Movie,PG
1142,Escape from Planet Earth,"['animated', 'comedy', 'follows', 'adventure', 'astronaut', 'scorch', 'supernova', 'hero', 'blue', 'alien', 'vast', 'appetite', 'adventure']",Fantasy,"United States, Canada",Movie,PG
1143,Accepted,"['rejected', 'every', 'college', 'applied', 'high', 'school', 'senior', 'invents', 'fake', 'university', 'fool', 'parent', 'fellow', 'outcast']",Comedies,United States,Movie,PG-13
1144,Air Strike,"['resident', 'chongqing', 'try', 'survive', 'japanese', 'air', 'raid', 'military', 'advisor', 'train', 'squadron', 'chinese', 'pilot', 'desperate', 'fight', 'back']",Action,China,Movie,R
1145,Air Strike,"['resident', 'chongqing', 'try', 'survive', 'japanese', 'air', 'raid', 'military', 'advisor', 'train', 'squadron', 'chinese', 'pilot', 'desperate', 'fight', 'back']",Dramas,China,Movie,R
1147,An American Girl: McKenna Shoots for the Stars,"['talented', 'young', 'gymnast', 'struggle', 'schoolwork', 'injury', 'tutor', 'confidence', 'back']",Family,"United States, Canada",Movie,TV-Y
1148,An American Girl: McKenna Shoots for the Stars,"['talented', 'young', 'gymnast', 'struggle', 'schoolwork', 'injury', 'tutor', 'confidence', 'back']",Comedies,"United States, Canada",Movie,TV-Y
1149,An American Girl: McKenna Shoots for the Stars,"['talented', 'young', 'gymnast', 'struggle', 'schoolwork', 'injury', 'tutor', 'confidence', 'back']",Dramas,"United States, Canada",Movie,TV-Y
1150,Concrete Cowboy,"['sent', 'live', 'estranged', 'father', 'summer', 'rebellious', 'teen', 'kinship', 'philadelphia', 'community', 'black', 'cowboy']",Dramas,"United Kingdom, United States",Movie,R
1152,Cross: Rise of the Villains,"['armed', 'mighty', 'ancient', 'amulet', 'team', 'weapon', 'expert', 'join', 'force', 'defend', 'los', 'angeles', 'supervillains', 'explosive', 'power']",Action,United States,Movie,R
1153,God Calling,"['loss', 'child', 'plunge', 'sade', 'suicidal', 'depression', 'suffering', 'lead', 'faith', 'little', 'assist', 'modern', 'technology']",Dramas,Nigeria,Movie,TV-MA
1154,God Calling,"['loss', 'child', 'plunge', 'sade', 'suicidal', 'depression', 'suffering', 'lead', 'faith', 'little', 'assist', 'modern', 'technology']",Faith,Nigeria,Movie,TV-MA
1157,Irul,"['car', 'breakdown', 'force', 'couple', 'seek', 'shelter', 'nearby', 'home', 'conversation', 'stranger', 'inside', 'soon', 'suggest', 'killer', 'among']",Thrillers,India,Movie,TV-MA
1158,Just Say Yes,"['incurable', 'romantic', 'lotte', 'life', 'upended', 'plan', 'wedding', 'unravel', 'sister', 'engaged']",Comedies,Netherlands,Movie,TV-MA
1160,Just Say Yes,"['incurable', 'romantic', 'lotte', 'life', 'upended', 'plan', 'wedding', 'unravel', 'sister', 'engaged']",Romantics,Netherlands,Movie,TV-MA
1161,Madame Claude,"['paris', 'madame', 'claude', 'influence', 'extends', 'beyond', 'world', 'sex', 'work', 'affluent', 'young', 'woman', 'threatens', 'change', 'everything']",Dramas,France,Movie,TV-MA
1163,Wild Child,"['accustomed', 'getting', 'way', 'wealthy', 'teenage', 'girl', 'los', 'angeles', 'sent', 'strict', 'boarding', 'school', 'england', 'clean', 'act']",Comedies,"United States, United Kingdom, France",Movie,PG-13
1164,Wild Child,"['accustomed', 'getting', 'way', 'wealthy', 'teenage', 'girl', 'los', 'angeles', 'sent', 'strict', 'boarding', 'school', 'england', 'clean', 'act']",Romantics,"United States, United Kingdom, France",Movie,PG-13
1165,Woody Woodpecker,"['rascally', 'bird', 'distinctive', 'laugh', 'peck', 'back', 'vengeance', 'forest', 'habitat', 'threatened', 'slick', 'lawyer', 'building', 'dream', 'home']",Family,United States,Movie,PG
1166,Woody Woodpecker,"['rascally', 'bird', 'distinctive', 'laugh', 'peck', 'back', 'vengeance', 'forest', 'habitat', 'threatened', 'slick', 'lawyer', 'building', 'dream', 'home']",Comedies,United States,Movie,PG
1167,2012,"['flood', 'natural', 'disaster', 'begin', 'destroy', 'world', 'divorced', 'dad', 'desperately', 'try', 'save', 'family', 'outrunning', 'cataclysmic', 'chaos']",Action,United States,Movie,PG-13
1168,2012,"['flood', 'natural', 'disaster', 'begin', 'destroy', 'world', 'divorced', 'dad', 'desperately', 'try', 'save', 'family', 'outrunning', 'cataclysmic', 'chaos']",Fantasy,United States,Movie,PG-13
1169,3 Idiots,"['attending', 'india', 'premier', 'college', 'miserable', 'engineering', 'student', 'best', 'friend', 'struggle', 'beat', 'school', 'draconian', 'system']",Comedies,India,Movie,PG-13
1170,3 Idiots,"['attending', 'india', 'premier', 'college', 'miserable', 'engineering', 'student', 'best', 'friend', 'struggle', 'beat', 'school', 'draconian', 'system']",Dramas,India,Movie,PG-13
1172,Ferrari Ki Sawaari,"['father', 'wind', 'involved', 'stolen', 'ferrari', 'try', 'acquire', 'money', 'send', 'son', 'leading', 'cricket', 'academy']",Comedies,India,Movie,TV-PG
1174,Ferrari Ki Sawaari,"['father', 'wind', 'involved', 'stolen', 'ferrari', 'try', 'acquire', 'money', 'send', 'son', 'leading', 'cricket', 'academy']",Sports,India,Movie,TV-PG
1175,Insidious,"['family', 'move', 'new', 'home', 'son', 'fall', 'coma', 'eerie', 'event', 'begin', 'reveal', 'something', 'far', 'sinister', 'lurking', 'house']",Horror,"United States, Canada",Movie,PG-13
1176,Insidious,"['family', 'move', 'new', 'home', 'son', 'fall', 'coma', 'eerie', 'event', 'begin', 'reveal', 'something', 'far', 'sinister', 'lurking', 'house']",Thrillers,"United States, Canada",Movie,PG-13
1177,Into the Grizzly Maze,"['estranged', 'brother', 'beckett', 'rowan', 'reunite', 'alaskan', 'wild', 'confront', 'savage', 'grizzly', 'bear', 'wreaking', 'havoc', 'hometown']",Action,"United States, Canada",Movie,R
1178,Into the Grizzly Maze,"['estranged', 'brother', 'beckett', 'rowan', 'reunite', 'alaskan', 'wild', 'confront', 'savage', 'grizzly', 'bear', 'wreaking', 'havoc', 'hometown']",Horror,"United States, Canada",Movie,R
1179,Kingsglaive: Final Fantasy XV,"['king', 'regis', 'lucis', 'order', 'kingsglaive', 'warrior', 'stop', 'army', 'niflheim', 'invades', 'steal', 'crystal', 'give', 'lucis', 'power']",Action,"Japan, United States",Movie,PG-13
1180,Kingsglaive: Final Fantasy XV,"['king', 'regis', 'lucis', 'order', 'kingsglaive', 'warrior', 'stop', 'army', 'niflheim', 'invades', 'steal', 'crystal', 'give', 'lucis', 'power']",Fantasy,"Japan, United States",Movie,PG-13
1181,Legally Blonde,"['dazzling', 'sorority', 'girl', 'elle', 'wood', 'dumped', 'snobby', 'boyfriend', 'decides', 'win', 'back', 'following', 'harvard', 'law', 'school']",Comedies,United States,Movie,PG-13
1182,Legally Blonde,"['dazzling', 'sorority', 'girl', 'elle', 'wood', 'dumped', 'snobby', 'boyfriend', 'decides', 'win', 'back', 'following', 'harvard', 'law', 'school']",Romantics,United States,Movie,PG-13
1183,Madam Chief Minister,"['rising', 'disadvantage', 'become', 'state', 'leader', 'tenacious', 'politician', 'learns', 'great', 'power', 'come', 'great', 'responsibility', 'ruthlessness', 'risk']",Dramas,India,Movie,TV-14
1185,Maximum Risk,"['discovering', 'twin', 'turn', 'dead', 'french', 'cop', 'assumes', 'brother', 'identity', 'uncover', 'truth', 'seek', 'vengeance']",Action,United States,Movie,R
1186,My Fair Lady,"['cockney', 'flower', 'girl', 'elocution', 'lesson', 'aloof', 'professor', 'decides', 'introduce', 'high', 'society', 'transforming', 'life']",Classic,United States,Movie,G
1187,My Fair Lady,"['cockney', 'flower', 'girl', 'elocution', 'lesson', 'aloof', 'professor', 'decides', 'introduce', 'high', 'society', 'transforming', 'life']",Musical,United States,Movie,G
1188,S.W.A.T.: Under Siege,"['team', 'mysterious', 'prisoner', 'international', 'threat', 'unleash', 'barrage', 'attack', 'compound', 'retrieve']",Action,United States,Movie,R
1190,Seven Souls in the Skull Castle: Season Flower,"['japan', 'wandering', 'samurai', 'band', 'together', 'lord', 'skull', 'castle', 'flower', 'version', 'bold', 'show', 'performed', 'theater']",Action,Japan,Movie,TV-14
1191,Seven Souls in the Skull Castle: Season Flower,"['japan', 'wandering', 'samurai', 'band', 'together', 'lord', 'skull', 'castle', 'flower', 'version', 'bold', 'show', 'performed', 'theater']",Dramas,Japan,Movie,TV-14
1193,Sniper: Ghost Shooter,"['sniper', 'ordered', 'protect', 'gas', 'pipeline', 'terrorist', 'suspect', 'security', 'breach', 'targeted', 'ghost', 'shooter', 'know', 'location']",Action,United States,Movie,R
1194,Starship Troopers: Traitor of Mars,"['corrupt', 'official', 'plan', 'sabotage', 'planet', 'mar', 'rico', 'group', 'fresh', 'recruit', 'fend', 'surprise', 'bug', 'attack']",Action,"United States, Japan",Movie,R
1195,Starship Troopers: Traitor of Mars,"['corrupt', 'official', 'plan', 'sabotage', 'planet', 'mar', 'rico', 'group', 'fresh', 'recruit', 'fend', 'surprise', 'bug', 'attack']",Fantasy,"United States, Japan",Movie,R
1196,Takers,"['elite', 'crew', 'bank', 'robber', 'set', 'daring', 'heist', 'former', 'associate', 'persuades', 'target', 'armored', 'car', 'biggest', 'score']",Action,United States,Movie,PG-13
1197,Tersanjung the Movie,"['growing', 'tumultuous', 'household', 'yura', 'love', 'triangle', 'close', 'friend', 'face', 'personal', 'financial', 'crisis']",Dramas,Indonesia,Movie,TV-14
1199,Tersanjung the Movie,"['growing', 'tumultuous', 'household', 'yura', 'love', 'triangle', 'close', 'friend', 'face', 'personal', 'financial', 'crisis']",Romantics,Indonesia,Movie,TV-14
1200,The Knight and the Princess,"['fictional', 'account', 'heroic', 'quest', 'knight', 'rescuing', 'hostage', 'abducted', 'pirate', 'indian', 'sea', 'taking', 'tyrant']",Action,"Egypt, Saudi Arabia",Movie,TV-PG
1202,The Knight and the Princess,"['fictional', 'account', 'heroic', 'quest', 'knight', 'rescuing', 'hostage', 'abducted', 'pirate', 'indian', 'sea', 'taking', 'tyrant']",Musical,"Egypt, Saudi Arabia",Movie,TV-PG
1203,The Pianist,"['famed', 'polish', 'pianist', 'wladyslaw', 'szpilman', 'struggle', 'survive', 'onslaught', 'nazi', 'tyranny', 'world', 'war', 'ii', 'drama', 'based', 'memoir']",Dramas,"United Kingdom, France, Poland, Germany, United States",Movie,R
1206,The Stepfather,"['series', 'mysterious', 'event', 'make', 'teenager', 'suspect', 'mother', 'new', 'boyfriend', 'dangerous', 'serial', 'killer', 'known', 'preying', 'family']",Horror,United States,Movie,PG-13
1207,The Stepfather,"['series', 'mysterious', 'event', 'make', 'teenager', 'suspect', 'mother', 'new', 'boyfriend', 'dangerous', 'serial', 'killer', 'known', 'preying', 'family']",Thrillers,United States,Movie,PG-13
1208,Universal Soldier: The Return,"['soldier', 'working', 'design', 'smarter', 'cyborg', 'warrior', 'discovers', 'supercomputer', 'controlling', 'soldier', 'sinister', 'agenda']",Action,United States,Movie,R
1209,Wazir,"['helping', 'amputee', 'grandmaster', 'settle', 'score', 'tragic', 'past', 'grieving', 'detective', 'unravels', 'conspiracy', 'complicated', 'imagined']",Dramas,India,Movie,TV-14
1211,Wazir,"['helping', 'amputee', 'grandmaster', 'settle', 'score', 'tragic', 'past', 'grieving', 'detective', 'unravels', 'conspiracy', 'complicated', 'imagined']",Thrillers,India,Movie,TV-14
1212,White Boy,"['documentary', 'expose', 'new', 'fact', 'alleged', 'teen', 'drug', 'lord', 'white', 'boy', 'rick', 'role', 'fbi', 'informant']",Documentaries,United States,Movie,TV-MA
1213,Yes Man,"['bitter', 'divorce', 'loan', 'officer', 'fall', 'sway', 'guru', 'urge', 'say', 'yes', 'everything', 'come', 'way', 'year']",Comedies,"United States, United Kingdom",Movie,PG-13
1214,Yes Man,"['bitter', 'divorce', 'loan', 'officer', 'fall', 'sway', 'guru', 'urge', 'say', 'yes', 'everything', 'come', 'way', 'year']",Romantics,"United States, United Kingdom",Movie,PG-13
1215,At Eternity's Gate,"['wild', 'artistic', 'inspiration', 'emotional', 'turmoil', 'fill', 'painter', 'vincent', 'van', 'gogh', 'last', 'year', 'struggle', 'bring', 'unique', 'vision', 'world']",Dramas,"Ireland, Switzerland, United Kingdom, France, United States",Movie,PG-13
1216,Not a Game,"['documentary', 'offer', 'honest', 'look', 'fraught', 'complex', 'relationship', 'video', 'game', 'perspective', 'gamers', 'concerned', 'parent']",Documentaries,United Kingdom,Movie,TV-MA
1218,Not a Game,"['documentary', 'offer', 'honest', 'look', 'fraught', 'complex', 'relationship', 'video', 'game', 'perspective', 'gamers', 'concerned', 'parent']",Sports,United Kingdom,Movie,TV-MA
1219,7 Yards: The Chris Norton Story,"['true', 'story', 'former', 'college', 'football', 'player', 'chris', 'norton', 'defied', 'odds', 'devastating', 'accident', 'woman', 'love', 'side']",Documentaries,United States,Movie,TV-PG
1220,Octonauts & the Ring of Fire,"['volcano', 'start', 'chain', 'reaction', 'disaster', 'across', 'ocean', 'octonauts', 'work', 'together', 'face', 'biggest', 'challenge', 'yet']",Family,"China, United Kingdom",Movie,TV-Y
1221,Mandela: Long Walk to Freedom,"['biopic', 'portrays', 'groundbreaking', 'south', 'african', 'leader', 'nelson', 'mandela', 'fight', 'political', 'oppression', 'virulent', 'racism']",Dramas,"United Kingdom, South Africa, France",Movie,PG-13
1223,Lawless,"['action', 'saga', 'profile', 'virginia', 'bootlegging', 'bondurant', 'brother', 'whose', 'exploit', 'prohibition', 'era', 'made', 'outlaw', 'hero']",Dramas,United States,Movie,R
1224,A Week Away,"['uplifting', 'musical', 'troubled', 'teen', 'leap', 'faith', 'attending', 'summer', 'camp', 'unexpectedly', 'love', 'friend', 'place', 'belong']",Family,United States,Movie,TV-PG
1225,A Week Away,"['uplifting', 'musical', 'troubled', 'teen', 'leap', 'faith', 'attending', 'summer', 'camp', 'unexpectedly', 'love', 'friend', 'place', 'belong']",Faith,United States,Movie,TV-PG
1226,A Week Away,"['uplifting', 'musical', 'troubled', 'teen', 'leap', 'faith', 'attending', 'summer', 'camp', 'unexpectedly', 'love', 'friend', 'place', 'belong']",Musical,United States,Movie,TV-PG
1227,Croupier,"['writer', 'land', 'job', 'croupier', 'make', 'end', 'meet', 'becomes', 'involved', 'gambler', 'lured', 'taking', 'part', 'heist']",Dramas,"Ireland, United Kingdom, France, Germany",Movie,TV-MA
1229,Croupier,"['writer', 'land', 'job', 'croupier', 'make', 'end', 'meet', 'becomes', 'involved', 'gambler', 'lured', 'taking', 'part', 'heist']",Thrillers,"Ireland, United Kingdom, France, Germany",Movie,TV-MA
1230,Keeping the Bees,"['ayşe', 'return', 'germany', 'black', 'sea', 'hometown', 'set', 'fulfill', 'mom', 'dying', 'wish', 'care', 'beloved', 'bee', 'farm']",Dramas,Turkey,Movie,TV-14
1232,Ni de coña,"['trying', 'fix', 'relationship', 'couple', 'attend', 'spiritual', 'retreat', 'caribbean', 'resort', 'temptation', 'mishap', 'add', 'problem', 'mix']",Comedies,Spain,Movie,TV-MA
1234,Pagglait,"['widowed', 'soon', 'marriage', 'young', 'woman', 'grapple', 'inability', 'grieve', 'quirky', 'relative', 'startling', 'discovery', 'late', 'husband']",Comedies,India,Movie,TV-PG
1235,Pagglait,"['widowed', 'soon', 'marriage', 'young', 'woman', 'grapple', 'inability', 'grieve', 'quirky', 'relative', 'startling', 'discovery', 'late', 'husband']",Dramas,India,Movie,TV-PG
1237,Caught by a Wave,"['falling', 'love', 'sailing', 'summer', 'camp', 'sicily', 'reality', 'come', 'crashing', 'teenage', 'couple', 'harsh', 'truth', 'prompt', 'pivotal', 'decision']",Dramas,Italy,Movie,TV-14
1239,Caught by a Wave,"['falling', 'love', 'sailing', 'summer', 'camp', 'sicily', 'reality', 'come', 'crashing', 'teenage', 'couple', 'harsh', 'truth', 'prompt', 'pivotal', 'decision']",Romantics,Italy,Movie,TV-14
1240,Secret Magic Control Agency,"['hansel', 'gretel', 'fairy', 'tale', 'fame', 'acting', 'secret', 'agent', 'use', 'magic', 'clever', 'thinking', 'teamwork', 'mission', 'missing', 'king']",Family,"Russia, United States",Movie,TV-Y7
1241,Secret Magic Control Agency,"['hansel', 'gretel', 'fairy', 'tale', 'fame', 'acting', 'secret', 'agent', 'use', 'magic', 'clever', 'thinking', 'teamwork', 'mission', 'missing', 'king']",Comedies,"Russia, United States",Movie,TV-Y7
1242,Loyiso Gola: Unlearning,"['south', 'african', 'comedian', 'loyiso', 'gola', 'serf', 'humor', 'riff', 'race', 'identity', 'politics', 'school', 'prank', 'gone', 'embarrassingly', 'wrong']",Stand-Up Comedy,South Africa,Movie,TV-MA
1244,Men on a Mission,"['male', 'celebs', 'play', 'high', 'schoolers', 'welcoming', 'star', 'transfer', 'student', 'every', 'week', 'engaging', 'battle', 'witty', 'humor', 'slapstick']",Korean,South Korea,TV Show,TV-14
1245,Men on a Mission,"['male', 'celebs', 'play', 'high', 'schoolers', 'welcoming', 'star', 'transfer', 'student', 'every', 'week', 'engaging', 'battle', 'witty', 'humor', 'slapstick']",Stand-Up Comedy,South Korea,TV Show,TV-14
1246,Philomena,"['irishwoman', 'team', 'acerbic', 'journalist', 'son', 'forced', 'give', 'adoption', 'year', 'ago']",Dramas,"United Kingdom, United States, France",Movie,PG-13
1249,Any Crybabies Around?,"['immature', 'young', 'father', 'akita', 'becomes', 'outcast', 'community', 'medium', 'incident', 'year', 'later', 'return', 'ineptly', 'try', 'make', 'amends']",Dramas,Japan,Movie,TV-MA
1251,Hospital,"['abandoned', 'hospital', 'tainan', 'visitor', 'seeking', 'communicate', 'relative', 'spirit', 'haunted', 'disturbing', 'supernatural', 'occurrence']",Horror,Taiwan,Movie,TV-MA
1253,Jiu Jitsu,"['defeat', 'celebrated', 'war', 'hero', 'ancient', 'order', 'fighter', 'battle', 'powerful', 'space', 'invader', 'fate', 'humanity', 'hang', 'balance']",Action,United States,Movie,R
1254,The Yin Yang Master,"['feud', 'erupts', 'realm', 'yin', 'yang', 'master', 'qing', 'ming', 'team', 'disgraced', 'guard', 'yuan', 'boya', 'vanquish', 'demonic', 'threat', 'conspiracy', 'loom']",Action,China,Movie,TV-14
1256,Who's the Boss,"['young', 'overworked', 'ad', 'executive', 'overbearing', 'bos', 'start', 'side', 'hustle', 'invents', 'employer', 'business', 'begin', 'flourish']",Comedies,Nigeria,Movie,TV-MA
1258,Who's the Boss,"['young', 'overworked', 'ad', 'executive', 'overbearing', 'bos', 'start', 'side', 'hustle', 'invents', 'employer', 'business', 'begin', 'flourish']",Romantics,Nigeria,Movie,TV-MA
1259,Deadly Illusions,"['bestselling', 'novelist', 'suffering', 'writer', 'block', 'hire', 'new', 'nanny', 'child', 'line', 'fiction', 'reality', 'start', 'blur']",Thrillers,United States,Movie,R
1260,Get the Goat,"['hapless', 'cop', 'head', 'cross', 'path', 'dangerous', 'criminal', 'searching', 'celestina', 'beloved', 'goat', 'mascot']",Action,Brazil,Movie,TV-14
1261,Get the Goat,"['hapless', 'cop', 'head', 'cross', 'path', 'dangerous', 'criminal', 'searching', 'celestina', 'beloved', 'goat', 'mascot']",Comedies,Brazil,Movie,TV-14
1263,Nate Bargatze: The Greatest Average American,"['nate', 'bargatze', 'touch', 'zoom', 'comedy', 'show', 'losing', 'phone', 'hotel', 'breakfast', 'fails', 'animal', 'caddy', 'new', 'math', 'much', 'special']",Stand-Up Comedy,United States,Movie,TV-G
1264,Skylines,"['mysterious', 'alien', 'virus', 'begin', 'endanger', 'humanity', 'elite', 'team', 'soldier', 'launch', 'space', 'end', 'threat', 'good']",Action,"United Kingdom, United States",Movie,R
1265,The Fluffy Movie,"['comedian', 'gabriel', 'iglesias', 'stage', 'san', 'jose', 'california', 'performance', 'featuring', 'wild', 'story', 'even', 'wilder', 'impersonation']",Stand-Up Comedy,United States,Movie,PG-13
1266,The Present,"['yusuf', 'daughter', 'set', 'buy', 'wife', 'anniversary', 'gift', 'gesture', 'demanding', 'much', 'patience', 'negotiation', 'skill', 'west', 'bank']",Dramas,"United Kingdom,",Movie,TV-MA
1268,Catch.er,"['man', 'becomes', 'prime', 'suspect', 'wife', 'murder', 'police', 'investigation', 'soon', 'widens', 'potential', 'culprit', 'hidden', 'motif']",Dramas,Nigeria,Movie,TV-14
1270,Catch.er,"['man', 'becomes', 'prime', 'suspect', 'wife', 'murder', 'police', 'investigation', 'soon', 'widens', 'potential', 'culprit', 'hidden', 'motif']",Thrillers,Nigeria,Movie,TV-14
1271,Operation Varsity Blues: The College Admissions Scandal,"['reenactment', 'drive', 'documentary', 'investigating', 'mastermind', 'behind', 'scam', 'kid', 'rich', 'famous', 'family', 'top', 'u', 'university']",Documentaries,United States,Movie,R
1272,Get on Up,"['music', 'legend', 'james', 'brown', 'make', 'turbulent', 'journey', 'humble', 'origin', 'superstardom', 'godfather', 'soul', 'biopic', 'starring', 'chadwick', 'boseman']",Dramas,"United Kingdom, United States",Movie,PG-13
1273,Get on Up,"['music', 'legend', 'james', 'brown', 'make', 'turbulent', 'journey', 'humble', 'origin', 'superstardom', 'godfather', 'soul', 'biopic', 'starring', 'chadwick', 'boseman']",Musical,"United Kingdom, United States",Movie,PG-13
1274,RebellComedy: Straight Outta the Zoo,"['comic', 'rebellcomedy', 'stage', 'tackle', 'mistaken', 'identity', 'geriatric', 'influencers', 'flawed', 'perception', 'animal']",Stand-Up Comedy,Germany,Movie,TV-MA
1275,Savages,"['shady', 'dea', 'agent', 'weed', 'entrepreneur', 'merciless', 'cartel', 'leader', 'want', 'business', 'kidnaps', 'lover']",Dramas,United States,Movie,R
1276,Savages,"['shady', 'dea', 'agent', 'weed', 'entrepreneur', 'merciless', 'cartel', 'leader', 'want', 'business', 'kidnaps', 'lover']",Thrillers,United States,Movie,R
1277,C/O Kaadhal,"['cutting', 'across', 'convention', 'expectation', 'brave', 'love', 'story', 'blossom', 'tamil', 'remake', 'telugu', 'film', 'care', 'kancharapalem']",Dramas,India,Movie,TV-14
1279,C/O Kaadhal,"['cutting', 'across', 'convention', 'expectation', 'brave', 'love', 'story', 'blossom', 'tamil', 'remake', 'telugu', 'film', 'care', 'kancharapalem']",Romantics,India,Movie,TV-14
1280,The BFG,"['little', 'orphan', 'meet', 'kind', 'giant', 'supposed', 'eat', 'instead', 'protects', 'truly', 'horrible', 'giant', 'terrorize']",Family,"United States, India, United Kingdom",Movie,PG
1281,The BFG,"['little', 'orphan', 'meet', 'kind', 'giant', 'supposed', 'eat', 'instead', 'protects', 'truly', 'horrible', 'giant', 'terrorize']",Dramas,"United States, India, United Kingdom",Movie,PG
1282,Çarsi Pazar,"['slacker', 'owner', 'public', 'bath', 'house', 'rally', 'community', 'save', 'big', 'developer', 'come', 'town', 'close', 'open', 'new', 'mall']",Comedies,Turkey,Movie,TV-MA
1284,Just In Time,"['meticulous', 'clerk', 'bookstore', 'shuttered', 'suddenly', 'taking', 'care', 'cousin', 'witty', 'daughter']",Comedies,Kenya,Movie,TV-G
1285,Just In Time,"['meticulous', 'clerk', 'bookstore', 'shuttered', 'suddenly', 'taking', 'care', 'cousin', 'witty', 'daughter']",Dramas,Kenya,Movie,TV-G
1287,Mucize,"['sent', 'away', 'family', 'remote', 'mountain', 'town', 'teacher', 'mahir', 'villager', 'build', 'school', 'inspires', 'path', 'hope']",Dramas,Turkey,Movie,TV-14
1289,Paper Lives,"['street', 'istanbul', 'ailing', 'waste', 'warehouse', 'worker', 'mehmet', 'small', 'boy', 'wing', 'soon', 'confront', 'traumatic', 'childhood']",Dramas,Turkey,Movie,TV-MA
1291,Romantik Komedi,"['bored', 'life', 'inspired', 'friend', 'wedding', 'esra', 'quits', 'job', 'dump', 'boyfriend', 'leading', 'series', 'romantic', 'misadventure']",Comedies,Turkey,Movie,TV-MA
1293,Romantik Komedi,"['bored', 'life', 'inspired', 'friend', 'wedding', 'esra', 'quits', 'job', 'dump', 'boyfriend', 'leading', 'series', 'romantic', 'misadventure']",Romantics,Turkey,Movie,TV-MA
1294,Romantik Komedi 2: Bekarlığa Veda,"['didem', 'try', 'everything', 'actor', 'cem', 'propose', 'got', 'thing', 'mind', 'beautiful', 'new', 'secret', 'bachelor', 'party']",Comedies,Turkey,Movie,TV-MA
1296,Romantik Komedi 2: Bekarlığa Veda,"['didem', 'try', 'everything', 'actor', 'cem', 'propose', 'got', 'thing', 'mind', 'beautiful', 'new', 'secret', 'bachelor', 'party']",Romantics,Turkey,Movie,TV-MA
1297,YES DAY,"['mom', 'dad', 'usually', 'say', 'decide', 'say', 'yes', 'kid', 'wildest', 'request', 'ground', 'rule', 'whirlwind', 'day', 'fun', 'adventure']",Family,United States,Movie,PG
1298,YES DAY,"['mom', 'dad', 'usually', 'say', 'decide', 'say', 'yes', 'kid', 'wildest', 'request', 'ground', 'rule', 'whirlwind', 'day', 'fun', 'adventure']",Comedies,United States,Movie,PG
1299,You're Everything To Me,"['old', 'fling', 'show', 'infant', 'child', 'dallying', 'role', 'father', 'create', 'fairytale', 'world', 'daughter']",Comedies,Turkey,Movie,TV-PG
1300,You're Everything To Me,"['old', 'fling', 'show', 'infant', 'child', 'dallying', 'role', 'father', 'create', 'fairytale', 'world', 'daughter']",Dramas,Turkey,Movie,TV-PG
1302,Coven of Sisters,"['basque', 'country', 'postpone', 'execution', 'group', 'woman', 'accused', 'witchcraft', 'lure', 'inquisitor', 'witnessing', 'witch', 'sabbath']",Dramas,"Spain, Argentina",Movie,TV-MA
1305,Generasi 90an: Melankolia,"['devastating', 'loss', 'loved', 'abby', 'form', 'bond', 'sister', 'best', 'friend', 'struggle', 'move']",Dramas,Indonesia,Movie,TV-14
1307,The Block Island Sound,"['island', 'fisherman', 'family', 'face', 'horror', 'dark', 'truth', 'ominous', 'force', 'begin', 'killing', 'wildlife', 'put', 'life', 'danger']",Horror,United States,Movie,TV-MA
1309,Dealer,"['tension', 'erupt', 'filmmaker', 'infiltrate', 'area', 'ruled', 'gang', 'shoot', 'music', 'video', 'rapper', 'gritty', 'series']",Crime,France,TV Show,TV-MA
1311,Dealer,"['tension', 'erupt', 'filmmaker', 'infiltrate', 'area', 'ruled', 'gang', 'shoot', 'music', 'video', 'rapper', 'gritty', 'series']",Action,France,TV Show,TV-MA
